"MP Name","Constituency","State","House","Allocated Amount (₹)","Total Expenditure (₹)","Utilization %","Completed Works","Recommended Works","Completion Rate %","Unspent Amount (₹)","Transaction Count","Successful Payments","Pending Payments","Average Rating"
"Smt. S. Phangnon Konyak (2022-28)","Sitting Rajya Sabha","Nagaland","Rajya Sabha",206563957.11,196106200,94.94,57,20,74.03,10457757.110000014,123,123,0,"N/A"
"Shri Arun Kumar Sagar ","SHAHJAHANPUR","Uttar Pradesh","Lok Sabha",147000000,138723000,94.37,4,3,57.14,8277000,45,45,0,"N/A"
"S SUPONGMEREN JAMIR","NAGALAND","Nagaland","Lok Sabha",147000000,138150000,93.98,38,18,67.86,8850000,81,81,0,"N/A"
"VIJAYLAKSHMI DEVI","SIWAN","Bihar","Lok Sabha",147000000,134748616,91.67,95,87,52.2,12251384,142,135,7,"N/A"
"Smt Veena Devi ","VAISHALI","Bihar","Lok Sabha",147000000,131108889,89.19,30,29,50.85,15891111,49,49,0,"N/A"
"Smt. Darshana Singh (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196994373.87,174994106,88.83,31,16,65.96,22000267.870000005,133,132,1,"N/A"
"Shri Mithlesh Kumar (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,170753928,87.09,195,9,95.59,25310029.110000014,232,232,0,"N/A"
"Smt. Sangeeta Yadav (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,169940841,86.68,43,78,35.54,26123116.110000014,261,260,1,"N/A"
"Smt. Geeta alias Chandraprabha (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,169877016.35,86.64,210,37,85.02,26186940.76000002,313,313,0,"N/A"
"Shri B.L. Verma (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,168937264.09,86.16,350,64,84.54,27126693.02000001,804,803,1,"N/A"
"Smt. Sumitra Balmik (2022-28)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",196063957.11,163767349,83.53,62,116,34.83,32296608.110000014,419,419,0,"N/A"
"Ashok Kumar Rawat","MISRIKH","Uttar Pradesh","Lok Sabha",147000000,121139986,82.41,2,3,40,25860014,32,24,8,"N/A"
"Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,160977854.28,82.1,125,68,64.77,35086102.83000001,260,251,9,"N/A"
"Shri Ramji (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",174518577.11,141923083,81.32,154,91,62.86,32595494.110000014,258,174,84,"N/A"
"Prof. Ram Gopal Yadav (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",221271395.11,178725656,80.77,25,56,30.86,42545739.110000014,125,124,1,"N/A"
"SUKHDEO BHAGAT","LOHARDAGA","Jharkhand","Lok Sabha",171821957.11,138586757,80.66,80,204,28.17,33235200.110000014,358,358,0,"N/A"
"Pradeep Kumar Singh","ARARIA","Bihar","Lok Sabha",147000000,118278146,80.46,39,47,45.35,28721854,68,68,0,"N/A"
"Shri R. Dharmar (2022-28)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",260812242.52,207877791,79.7,189,55,77.46,52934451.52000001,198,198,0,"N/A"
"Shri Hardeep Singh Puri (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",226801049.11,180480217.2,79.58,278,137,66.99,46320831.910000026,885,885,0,"N/A"
"Dr. Faiyaz Ahmad (2022-28)","Sitting Rajya Sabha","Bihar","Rajya Sabha",235263957.11,183753433,78.11,130,59,68.78,51510524.110000014,174,171,3,"N/A"
"Giridhari Yadav","BANKA","Bihar","Lok Sabha",147000000,114805889,78.1,85,35,70.83,32194111,96,96,0,"N/A"
"Shri Khiru Mahto (2022-28)","Sitting Rajya Sabha","Bihar","Rajya Sabha",235770091.81,183791258,77.95,171,6,96.61,51978833.81,176,176,0,"N/A"
"Smt. Seema Dwivedi (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",173830159.11,135282718.4,77.82,210,198,51.47,38547440.71000001,313,302,11,"N/A"
"Smt. Ranjeet Ranjan (2022-28)","Sitting Rajya Sabha","Chhattisgarh","Rajya Sabha",246780257.87,185739464,75.27,160,121,56.94,61040793.870000005,452,430,22,"N/A"
"Dr. Bhim Singh (2024-30)","Sitting Rajya Sabha","Bihar","Rajya Sabha",186200000,139819329,75.09,233,82,73.97,46380671,281,281,0,"N/A"
"Shri S. Kalyanasundaram (2022-28)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",239763792.52,179863534,75.02,141,44,76.22,59900258.52000001,181,180,1,"N/A"
"Shri Shambhu Sharan Patel (2022-28)","Sitting Rajya Sabha","Bihar","Rajya Sabha",237168443.49,175484824,73.99,199,108,64.82,61683619.49000001,221,221,0,"N/A"
"Mukesh Rajput","FARRUKHABAD","Uttar Pradesh","Lok Sabha",147000000,108417412,73.75,246,49,83.39,38582588,367,367,0,"N/A"
"Dr. Dharmshila Gupta (2024-30)","Sitting Rajya Sabha","Bihar","Rajya Sabha",186200000,136714265,73.42,87,55,61.27,49485735,113,112,1,"N/A"
"Ramprit Mandal","JHANJHARPUR","Bihar","Lok Sabha",147000000,107510581,73.14,89,91,49.44,39489419,104,104,0,"N/A"
"RAM PRASAD CHAUDHARY","BASTI","Uttar Pradesh","Lok Sabha",204176957.11,148429426,72.7,37,146,20.22,55747531.110000014,239,238,1,1
"ANDREW J. SYNGKON","SHILLONG","Meghalaya","Lok Sabha",98000000,70505000,71.94,98,146,40.16,27495000,321,319,2,"N/A"
"DR. RAJESH MISHRA","SIDHI","Madhya Pradesh","Lok Sabha",262724510.35,184983789,70.41,172,169,50.44,77740721.35,656,637,19,"N/A"
"Shri R. Girirajan (2022-28)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",236312242.52,165928789,70.22,150,71,67.87,70383453.52000001,191,190,1,"N/A"
"Smt. Mahua Maji (2022-28)","Sitting Rajya Sabha","Jharkhand","Rajya Sabha",232524001.2,163193927,70.18,150,315,32.26,69330074.19999999,598,598,0,"N/A"
"Shri Aditya Prasad (2022-28)","Sitting Rajya Sabha","Jharkhand","Rajya Sabha",227628508.2,159474868,70.06,141,85,62.39,68153640.19999999,383,382,1,"N/A"
"Shri Baburam Nishad (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,136082109.32,69.41,436,213,67.18,59981847.79000002,595,592,3,"N/A"
"Smt. Sadhna Singh (2024-30)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,101298179,68.91,5,13,27.78,45701821,37,37,0,"N/A"
"Bhola Singh","BULANDSHAHR","Uttar Pradesh","Lok Sabha",147000000,101017522,68.72,142,148,48.97,45982478,250,250,0,"N/A"
"Pradyut Bordoloi","NOWGONG","Assam","Lok Sabha",98000000,67329583,68.7,13,202,6.05,30670417,473,471,2,"N/A"
"Dr. Sandeep Kumar Pathak (2022-28)","Sitting Rajya Sabha","Punjab","Rajya Sabha",232203454.24,158759283,68.37,157,121,56.47,73444171.24000001,1110,1097,13,"N/A"
"Shri Gulam Ali (2022-28)","Nominated Rajya Sabha","Jammu And Kashmir","Rajya Sabha",196063957.11,134033715,68.36,156,29,84.32,62030242.110000014,192,190,2,"N/A"
"ARUN BHARTI","JAMUI","Bihar","Lok Sabha",194924621.11,132883940,68.17,218,110,66.46,62040681.110000014,306,288,18,"N/A"
"Shri Arun Singh (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",223492764.11,151462382,67.77,46,65,41.44,72030382.11000001,197,194,3,"N/A"
"DR. LATA WANKHEDE","SAGAR","Madhya Pradesh","Lok Sabha",147000000,99315853,67.56,103,155,39.92,47684147,272,250,22,"N/A"
"Shri Satish Chandra Dubey (2022-28)","Sitting Rajya Sabha","Bihar","Rajya Sabha",235263957.11,158349542,67.31,162,92,63.78,76914415.11000001,205,205,0,"N/A"
"Shri Sant Balbir Singh (2022-28)","Sitting Rajya Sabha","Punjab","Rajya Sabha",196359074.44000003,131641205.41,67.04,206,165,55.53,64717869.03000003,763,755,8,"N/A"
"Shri Tapir Gao","ARUNACHAL EAST","Arunachal Pradesh","Lok Sabha",147000000,98534470,67.03,106,58,64.63,48465530,199,199,0,"N/A"
"SUDHAKAR SINGH","BUXAR","Bihar","Lok Sabha",185211956.54,123581875,66.72,98,106,48.04,61630081.53999999,176,176,0,"N/A"
"ANOOP PRADHAN BALMIKI","HATHRAS","Uttar Pradesh","Lok Sabha",147000000,97915147,66.61,69,37,65.09,49084853,141,141,0,"N/A"
"Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",196063957.11,130587101,66.6,126,82,60.58,65476856.110000014,166,166,0,"N/A"
"NEERAJ MAURYA","AONLA","Uttar Pradesh","Lok Sabha",147000000,97488644,66.32,17,19,47.22,49511356,101,101,0,"N/A"
"THARANIVENTHAN M S","ARANI","Tamil Nadu","Lok Sabha",168337124.35,111315790,66.13,180,137,56.78,57021334.349999994,214,214,0,"N/A"
"KAMLESH JANGDE","JANJGIR CHAMPA","Chhattisgarh","Lok Sabha",150384382.11,99411941,66.11,254,90,73.84,50972441.110000014,602,596,6,"N/A"
"SALENG A SANGMA","TURA","Meghalaya","Lok Sabha",147000000,96785000,65.84,119,218,35.31,50215000,424,423,1,"N/A"
"RAJ BHUSHAN CHOUDHARY","MUZAFFARPUR","Bihar","Lok Sabha",147000000,96375137,65.56,77,43,64.17,50624863,90,90,0,"N/A"
"Rajkumar Chahar ","FATEHPUR SIKRI","Uttar Pradesh","Lok Sabha",147000000,96369831,65.56,45,5,90,50630169,92,92,0,"N/A"
"DR RANI SRI KUMAR","TENKASI","Tamil Nadu","Lok Sabha",153060922.82,99919930,65.28,102,58,63.75,53140992.81999999,123,123,0,"N/A"
"AKSHAYA YADAV","FIROZABAD","Uttar Pradesh","Lok Sabha",147000000,95931875,65.26,37,6,86.05,51068125,83,83,0,"N/A"
"CHHATRA PAL SINGH GANGWAR","BAREILLY","Uttar Pradesh","Lok Sabha",147000000,95712065,65.11,142,44,76.34,51287935,290,290,0,"N/A"
"MANOJ KUMAR","SASARAM","Bihar","Lok Sabha",147000000,95686097,65.09,82,112,42.27,51313903,122,121,1,"N/A"
"Pankaj Chowdhary","MAHARAJGANJ","Uttar Pradesh","Lok Sabha",147000000,95676373,65.09,34,30,53.13,51323627,94,94,0,"N/A"
"KARAN BHUSHAN SINGH","KAISERGANJ","Uttar Pradesh","Lok Sabha",147000000,95454825,64.94,33,75,30.56,51545175,145,144,1,"N/A"
"Dr. Kavita Patidar (2022-28)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",197118521.35000002,127377000.12,64.62,142,75,65.44,69741521.23000002,427,426,1,"N/A"
"RICHARD VANLALHMANGAIHA","MIZORAM","Mizoram","Lok Sabha",147000000,94866729,64.54,134,132,50.38,52133271,317,316,1,"N/A"
"Indra Hang Subba","SIKKIM","Sikkim","Lok Sabha",152003923.11,98023420,64.49,38,81,31.93,53980503.110000014,80,80,0,"N/A"
"Shri K.R.N. Rajeshkumar (2022-28)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",238513975.53,152999036,64.15,84,18,82.35,85514939.53,97,96,1,"N/A"
"SHER SINGH GHUBAYA","FIROZPUR","Punjab","Lok Sabha",147000000,94266196,64.13,361,34,91.39,52733804,462,450,12,"N/A"
"ANGOMCHA BIMOL AKOIJAM","INNER MANIPUR","Manipur","Lok Sabha",147000000,93860392,63.85,21,29,42,53139608,67,67,0,"N/A"
"Prof SP Singh Baghel","AGRA","Uttar Pradesh","Lok Sabha",147000000,93200157,63.4,55,55,50,53799843,140,127,13,"N/A"
"JITENDRA KUMAR DOHARE","ETAWAH","Uttar Pradesh","Lok Sabha",188747306.26,119571988,63.35,192,322,37.35,69175318.25999999,518,518,0,"N/A"
"Shri Ramji Lal Suman (2024-30)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,93005621,63.27,29,35,45.31,53994379,120,120,0,"N/A"
"GAIKWAD VARSHA EKNATH","MUMBAI NORTH-CENTRAL","Maharashtra","Lok Sabha",147000000,92563767,62.97,0,57,0,54436233,54,51,3,"N/A"
"PRAVEEN PATEL","PHULPUR","Uttar Pradesh","Lok Sabha",151559884.09,95102075,62.75,14,10,58.33,56457809.09,37,35,2,"N/A"
"SK NURUL ISLAM","BASIRHAT","West Bengal","Lok Sabha",49000000,30740105,62.73,7,26,21.21,18259895,21,21,0,"N/A"
"Rodmal Nagar ","RAJGARH","Madhya Pradesh","Lok Sabha",147000000,92107905,62.66,54,301,15.21,54892095,265,265,0,"N/A"
"AWADHESH PRASAD","FAIZABAD","Uttar Pradesh","Lok Sabha",147000000,92097873,62.65,108,106,50.47,54902127,288,253,35,"N/A"
"Dr. K. Laxman (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",197637007.11,123809716,62.65,275,48,85.14,73827291.11000001,323,311,12,"N/A"
"RAKESH RATHOR","SITAPUR","Uttar Pradesh","Lok Sabha",147000000,91524162,62.26,21,50,29.58,55475838,105,104,1,"N/A"
"SARABJEET SINGH KHALSA","FARIDKOT","Punjab","Lok Sabha",150850348.15,93855473,62.22,227,389,36.85,56994875.150000006,703,702,1,"N/A"
"MALAIYARASAN D","KALLAKURICHI","Tamil Nadu","Lok Sabha",196416465,121901141,62.06,198,191,50.9,74515324,204,204,0,"N/A"
"SACHITHANANTHAM R","DINDIGUL","Tamil Nadu","Lok Sabha",147000000,91226196,62.06,50,84,37.31,55773804,87,84,3,"N/A"
"Shri Chandrakant Damodar Handore (2024-30)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",147000000,91048479,61.94,9,29,23.68,55951521,26,26,0,"N/A"
"CHHOTELAL","ROBERTSGANJ","Uttar Pradesh","Lok Sabha",147000000,90952339,61.87,261,174,60,56047661,728,726,2,"N/A"
"Dinesh Chandra Yadav","MADHEPURA","Bihar","Lok Sabha",150070866.11,92486814,61.63,105,51,67.31,57584052.110000014,113,113,0,"N/A"
"Manickam Tagore B","VIRUDHUNAGAR","Tamil Nadu","Lok Sabha",147000000,90165437,61.34,69,19,78.41,56834563,93,93,0,"N/A"
"Shri Dorjee Tshering Lepcha (2024-30)","Sitting Rajya Sabha","Sikkim","Rajya Sabha",150170726.11,91921040,61.21,85,33,72.03,58249686.110000014,183,183,0,"N/A"
"Shri Tejveer Singh (2024-30)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,89900058,61.16,53,33,61.63,57099942,152,152,0,"N/A"
"Shri Karti P Chidambaram ","SIVAGANGA","Tamil Nadu","Lok Sabha",159049284.11,97237605,61.14,117,67,63.59,61811679.110000014,145,145,0,"N/A"
"Dr. Sikander Kumar (2022-28)","Sitting Rajya Sabha","Himachal Pradesh","Rajya Sabha",207863957.11,126961197.04,61.08,168,226,42.64,80902760.07000001,419,411,8,"N/A"
